state	Year	tax_state	cost_per_pack	tax_percent	tax_revenue	tax_dollar	sales_per_capita	index	price_cpi
California	2013	0.87	5.51	34.1	788753850	1.88	23.9	232.95708333333334	5.440057807500308
California	2014	0.87	5.475	34.3	757512960	1.88	22.7	236.73616666666666	5.3192125974273745
California	2015	0.87	5.607	33.5	754358820	1.88	22.3	237.017	5.4410021222106435
California	2016	0.87	5.607	33.5	748095546	1.88	22	240.00716666666668	5.373214549843303
California	2017	2.87	7.659	50.7	956712690	3.88	20.5	245.11958333333334	7.186573900154176
California	2018	2.87	7.862	49.4	1887613448	3.88	16.6	251.10683333333333	7.201158072825577
California	2019	2.87	8.141	47.7	1791254942	3.88	15.8	255.65741666666668	7.323980756800522
Colorado	1970	0.05	0.311	41.8	13101000	0.13	124.8	38.825	1.8423696072118478
Colorado	1971	0.05	0.312	41.7	13967000	0.13	125.5	40.49166666666667	1.772216505453797
Colorado	1972	0.05	0.327	39.8	15328000	0.13	134.3	41.81666666666666	1.7985651654045438
Colorado	1973	0.05	0.381	47.2	16255000	0.18	137.9	44.4	1.9736486486486486
Colorado	1974	0.1	0.417	43.2	32364000	0.18	132.8	49.30833333333334	1.9451073178975828
Colorado	1975	0.1	0.448	40.2	32710000	0.18	131	53.81666666666667	1.9146484979869929
Colorado	1976	0.1	0.447	40.3	33914000	0.18	134.2	56.90833333333333	1.8065895445892517
Colorado	1977	0.1	0.574	40.1	34098000	0.23	132	60.608333333333334	2.178248315688162
Colorado	1978	0.15	0.528	34.1	50757000	0.18	129.2	65.23333333333333	1.8616249361267245
Colorado	1979	0.1	0.546	33	35108000	0.18	131.5	72.575	1.7303479159490183
Colorado	1980	0.1	0.581	31	36311000	0.18	131	82.40833333333333	1.6215593083223783
Colorado	1981	0.1	0.614	29.3	38656000	0.18	133.8	90.925	1.5531481990651634
Colorado	1982	0.1	0.733	24.6	38705000	0.18	130.5	96.5	1.7470466321243523
Colorado	1983	0.1	0.834	37.2	38157000	0.31	125.3	99.6	1.9259036144578314
Colorado	1984	0.15	0.931	33.3	49528000	0.31	119.7	103.88333333333333	2.0612546125461257
Colorado	1985	0.15	0.951	32.6	54369000	0.31	112.4	107.56666666666666	2.0334366284474745
Colorado	1986	0.15	1.086	33.2	53052000	0.36	109.9	109.60833333333333	2.2788413289743787
Colorado	1987	0.2	1.16	31	66972910	0.36	102.4	113.625	2.348074807480748
Colorado	1988	0.2	1.308	27.5	63320608	0.36	94.6	118.25833333333333	2.5439222042139384
Colorado	1989	0.2	1.493	24.1	59822164	0.36	88.8	123.96666666666667	2.7700188222640496
Colorado	1990	0.2	1.457	24.7	58895309	0.36	87.4	130.65833333333333	2.5647809171503284
Colorado	1991	0.2	1.575	25.4	59892549	0.4	90.2	136.19166666666666	2.6598543719023438
Colorado	1992	0.2	1.682	23.8	58654419	0.4	88.3	140.31666666666666	2.757049530823138
Colorado	1993	0.2	1.532	28.7	58864837	0.44	88.6	144.45833333333334	2.439180847995385
Colorado	1994	0.2	1.642	26.8	60025673	0.44	89.1	148.225	2.5478832855456233
Colorado	1995	0.2	1.696	25.9	61736338	0.44	85.4	152.38333333333333	2.559860002187466
Colorado	1996	0.2	1.744	25.2	61731047	0.44	83.1	156.85	2.5573477845074915
Colorado	1997	0.2	1.858	23.7	62140937	0.44	81.3	160.51666666666665	2.662278060429862
Colorado	1998	0.2	2.042	21.5	62048112	0.44	81.2	163.00833333333333	2.88120239251572
Colorado	1999	0.2	2.813	15.6	61882583	0.44	79.6	166.575	3.8840762419330637
Colorado	2000	0.2	2.933	18.4	60818207	0.54	73	172.2	3.917479674796748
Colorado	2001	0.2	3.061	17.6	60567252	0.54	70.4	177.06666666666666	3.9760730421686747
Colorado	2002	0.2	3.264	18.1	58518066	0.59	66.2	179.875	4.173564975677554
Colorado	2003	0.2	3.214	18.4	56330686	0.59	63.8	183.95833333333334	4.018409966024914
Colorado	2004	0.2	3.429	17.2	55255011	0.59	60.7	188.88333333333333	4.175434571605047
Colorado	2005	0.84	4.036	30.5	116600483	1.23	57.9	195.29166666666666	4.7533006187326645
Colorado	2006	0.84	4.025	30.6	208072655	1.23	53.1	201.59166666666667	4.592203712124344
Colorado	2007	0.84	4.213	29.2	204048087	1.23	51.1	207.34241666666668	4.673380466852538
Colorado	2008	0.84	4.203	29.3	197765465	1.23	48.4	215.3025	4.489915351656391
Colorado	2009	0.84	5.078	36.4	191018492	1.85	46	214.537	5.444002666206761
Colorado	2010	0.84	5.097	36.3	176557976	1.85	41.4	218.0555	5.3762000958471585
Colorado	2011	0.84	5.216	35.5	171531588	1.85	40.6	224.93916666666667	5.333353091761847
Colorado	2012	0.84	5.299	34.9	174467790	1.85	40.6	229.59391666666667	5.308372354523041
Colorado	2013	0.84	5.415	34.2	167059169	1.85	38.3	232.95708333333334	5.346263707370992
Colorado	2014	0.84	5.431	34.1	162218960	1.85	36.7	236.73616666666666	5.276464587511977
Colorado	2015	0.84	5.443	34	163117891	1.85	36.3	237.017	5.2818574195099925
Colorado	2016	0.84	5.49	33.7	163999393	1.85	35.8	240.00716666666668	5.26109289792041
